X,Y
-1.821839416,-1.126617725
0.09664662,-1.637080143
-0.716174121,-0.535373574
2.009720762,1.782171089
-0.379157488,-1.654422338
-0.126742127,-0.334713589
0.683429751,-0.062157776
1.434153524,0.9529127
-0.302610429,-1.682303591
-0.297262086,1.635582515
1.59849802,-1.188559303
-1.455090376,-1.847029892
0.530927221,-0.552804989
-0.375063716,-0.910980899
-0.108299212,-1.749236629
-2.28985661,0.858552011
-0.233311431,-0.470644313
-0.012934915,-1.067373663
-0.341144032,0.455912635
0.474605294,-1.974622878
-0.224006507,-0.735872137
-2.671961231,-2.108851485
0.081293943,-1.112336191
-1.790799293,-0.508646747
1.67321246,-0.316165843
1.222893327,0.336778302
0.994532919,-0.646299992
0.059782561,0.522742973
0.807666384,-1.537430521
-0.338664272,1.191026687
0.757481518,0.664731601
-0.210771482,1.827972598
1.081702941,-1.613055873
-0.59199255,-1.199157008
1.507405319,0.948662759
0.021653907,1.188047007
0.206052852,-0.175837849
0.80165207,0.409219843
0.5372261,-0.340846966
0.006073964,0.673662235
-0.845667959,-0.582104525
-0.98302663,0.309734065
-1.623719483,0.158907247
-0.441400798,1.393265004
-0.360259359,-1.988440557
0.551278934,1.389725718
-0.913376874,0.29095939
0.695606995,1.61686758
0.066587245,-0.740285575
0.012473474,-0.912134525
1.099985697,1.102980966
-1.00252209,-1.065324461
-0.40586779,2.033298327
-0.499538024,-1.269765975
-0.499171277,-0.116848623
-0.093875152,0.407643167
-0.688689201,0.575015426
-0.062079812,-0.340487741
1.154677305,1.281761771
-1.374101863,-1.617648668
-0.650435693,1.009714523
-0.251861399,3.114847847
-1.689674154,-1.92203867
0.22372376,0.575901165
-0.165439492,-0.514749041
0.365946622,0.175322026
1.295518961,-0.158877008
0.840516365,0.347291001
-0.116491375,-1.622764268
-0.46056033,-0.217595414
0.925581363,1.671244828
-0.196064405,1.140315746
-0.422702207,-0.749408908
1.645880057,0.16948998
0.005744489,-1.281121847
-0.72306825,-1.569589065
1.063597431,-1.45034788
0.841239817,0.339919001
-1.932504115,-0.930021945
-0.467074348,0.252182122
1.345778833,-1.664706072
2.155824882,0.843722573
1.24518121,-0.738645458
1.423744866,1.817593833
0.910341209,0.619455563
-0.034631475,1.057848057
0.830056207,0.823018494
-0.437532454,-0.103212529
0.334910473,0.995200201
1.222162072,-0.998833408
0.494385847,-1.361686472
0.406946939,-0.513210356
-1.838927877,-0.880829872
-0.678385773,-0.278216725
-0.024666749,1.405780839
1.01576574,-0.152196734
-0.306828518,1.72082375
0.438810925,-1.433626578
2.02054962,0.22997333
0.14222664,-2.304552046
